"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","phosphoglycerate dehydrogenase activity","GO:0004617","true","0.0642085556296114","1.1924070994207565","2","31","1","39530","LOC111111318"
"GO:MF","ion binding","GO:0043167","true","0.0642085556296114","1.1924070994207565","5316","31","11","39530","LOC111122539,LOC111133892,LOC111132244,LOC111132776,LOC111136376,LOC111135284,LOC111103305,LOC111104284,LOC111112301,LOC111112302,LOC111114592"
"GO:MF","ATP-dependent protein folding chaperone","GO:0140662","false","0.06582978546611935","1.1815775602357712","160","31","2","39530","LOC111112302,LOC111114592"
"GO:MF","molecular_function","GO:0003674","false","0.06582978546611935","1.1815775602357712","17055","31","21","39530","LOC111122443,LOC111118818,LOC111122539,LOC111133892,LOC111132244,LOC111136055,LOC111136737,LOC111138502,LOC111132776,LOC111136376,LOC111135284,LOC111102455,LOC111103305,LOC111103307,LOC111104148,LOC111104147,LOC111104284,LOC111111318,LOC111112301,LOC111112302,LOC111114592"
"GO:MF","binding","GO:0005488","false","0.06582978546611935","1.1815775602357712","11708","31","16","39530","LOC111122539,LOC111133892,LOC111132244,LOC111138502,LOC111132776,LOC111136376,LOC111135284,LOC111102455,LOC111103305,LOC111104148,LOC111104147,LOC111104284,LOC111111318,LOC111112301,LOC111112302,LOC111114592"
"GO:MF","calcium ion binding","GO:0005509","false","0.06582978546611935","1.1815775602357712","812","31","4","39530","LOC111133892,LOC111136376,LOC111103305,LOC111112301"
"GO:MF","adenyl nucleotide binding","GO:0030554","false","0.06582978546611935","1.1815775602357712","1361","31","5","39530","LOC111122539,LOC111104284,LOC111111318,LOC111112302,LOC111114592"
"GO:MF","protein folding chaperone","GO:0044183","false","0.06582978546611935","1.1815775602357712","161","31","2","39530","LOC111112302,LOC111114592"
"GO:MF","small molecule binding","GO:0036094","false","0.06582978546611935","1.1815775602357712","2104","31","6","39530","LOC111122539,LOC111132244,LOC111104284,LOC111111318,LOC111112302,LOC111114592"
"GO:MF","ribosome binding","GO:0043022","true","0.06582978546611935","1.1815775602357712","10","31","1","39530","LOC111136376"
"GO:MF","ATP binding","GO:0005524","false","0.06887867141779955","1.161915238463274","1275","31","4","39530","LOC111122539,LOC111104284,LOC111112302,LOC111114592"
"GO:MF","purine nucleotide binding","GO:0017076","false","0.06887867141779955","1.161915238463274","1783","31","5","39530","LOC111122539,LOC111104284,LOC111111318,LOC111112302,LOC111114592"
