CASE_J03	CASE_J09	CASE_J12	CASE_J13	CA_J06	CA_J08	CA_J11	CA_J18	CON_J02	CON_J05	CON_J10	SE_J01	SE_J04	SE_J07
MSTRG.37002|LOC111106954	4	5	6	4	2	12	1	3	8	6	4	3	0	11
MSTRG.21737|LOC111135544	29	34	53	90	56	39	31	41	144	67	69	11	39	5
MSTRG.38779|LOC111111143	39	71	57	80	73	99	37	61	80	80	71	52	38	114
MSTRG.18311	1008	1288	985	1464	1042	1126	921	1061	1684	1481	1186	1142	998	1610
MSTRG.32083|LOC111103558	36	21	26	74	22	43	15	58	73	30	20	55	20	43
MSTRG.34687	76	136	80	96	80	40	94	98	94	81	88	62	42	104
MSTRG.44225	49	59	65	68	50	44	41	63	57	45	75	66	46	75
MSTRG.6774|LOC111120072	1	8	7	7	2	4	4	8	9	3	0	6	4	3
MSTRG.25862|LOC111138511	0	4	0	14	3	8	7	7	2	0	0	0	0	0
MSTRG.20438	956	1134	831	1101	846	615	752	895	1048	1017	1196	791	665	1045
gene27862|LOC111105102	0	13	8	1	8	3	9	1	8	0	8	8	0	15
MSTRG.5919	8	13	19	16	10	10	4	17	46	28	22	22	11	32
MSTRG.459|LOC111125589	0	15	0	0	0	0	9	20	12	0	0	16	16	18
MSTRG.43179	0	38	15	0	42	0	0	0	0	0	0	0	0	0
MSTRG.43178	55	47	43	57	36	31	28	47	61	45	37	52	45	55
MSTRG.43947	12	15	26	14	8	13	11	20	8	7	13	7	4	13
MSTRG.19849	1890	2621	1989	2459	1531	1232	1663	2413	2037	2103	2961	3010	2995	2354
MSTRG.43175	165	153	121	193	159	108	149	218	136	248	271	172	113	235
MSTRG.19847	437	681	321	771	413	255	486	478	672	669	1030	485	750	802
MSTRG.43176	457	345	225	182	582	99	152	159	891	285	283	310	107	221
MSTRG.5816	86	114	88	107	63	79	103	135	123	122	71	91	11	124
MSTRG.43170	59	47	35	32	33	25	30	49	33	55	47	38	38	81
MSTRG.19840	2050	3060	2567	3183	1889	1802	1868	2368	2968	2422	2253	2591	2118	3385
MSTRG.43172	43	29	18	12	45	25	33	36	44	35	21	29	32	45
MSTRG.15171	872	1349	958	1310	667	586	755	1166	1035	1589	2130	1220	1829	1042
MSTRG.32270	626	674	680	914	418	444	459	528	574	505	467	794	498	843
MSTRG.15177	2146	2484	1819	2707	1690	1352	1613	2107	2222	2751	3363	2922	2861	2657
MSTRG.15174	3523	5650	3866	5884	2694	2617	3239	5236	4313	4860	7255	4403	4843	3700
MSTRG.15175	4118	9257	3472	12204	410	3132	5226	12666	3948	3953	10854	8938	11701	858
MSTRG.15179	1423	1939	1722	2171	1279	1288	1468	2066	1839	2284	2272	2205	2137	2222
MSTRG.10522	8	26	17	59	0	18	22	20	14	15	32	25	38	8
MSTRG.37300	19	9	2	1	5	5	0	6	4	2	3	3	0	1
MSTRG.10520	377	678	508	791	311	380	356	521	660	452	452	579	532	598
MSTRG.37302	21	14	12	20	8	11	11	23	20	16	18	17	28	9
MSTRG.37305	20	22	16	21	12	22	17	14	35	28	31	19	13	24
MSTRG.10527	36	29	20	28	25	25	27	31	27	29	33	47	24	40
MSTRG.37307	76	106	88	111	59	89	83	111	99	106	120	115	70	109
MSTRG.37309	294	285	306	350	211	127	219	230	256	267	250	231	176	320
MSTRG.37308	26	32	41	30	35	17	28	36	26	32	25	11	28	32
MSTRG.18315	40	119	39	50	35	43	38	64	110	79	68	84	71	161
MSTRG.6651|LOC111120025	10	5	9	2	8	22	3	8	12	22	5	19	19	36
MSTRG.5662	211	280	136	196	175	84	186	275	204	276	516	169	176	240
MSTRG.5664	5282	10202	6011	10873	4042	4866	5896	10128	9548	16957	24479	7041	11863	8860
MSTRG.5666	1335	1959	1498	1931	1210	1093	1397	1850	1816	2122	2534	1618	1566	2184
MSTRG.5668	372	398	294	466	307	289	355	336	389	347	279	410	254	474
MSTRG.38307	851	907	843	969	583	591	565	1041	821	866	1085	1059	1069	802
MSTRG.38300	410	606	489	795	495	500	470	684	807	601	611	416	348	840
MSTRG.38302	1080	1843	1338	2043	714	881	1114	1693	1241	1343	1924	1686	1870	1151
MSTRG.17554	1315	1728	1407	1673	987	951	1077	1538	1558	1743	2183	1643	1635	1600
MSTRG.38308	664	1057	779	975	608	520	732	972	896	1119	1279	940	883	1202
MSTRG.3848	1262	1956	1369	2145	680	804	1269	1857	1177	1763	2906	1659	2271	1594
MSTRG.43822	1	20	13	13	13	4	25	4	13	4	3	13	5	13
MSTRG.3847	130	168	165	272	147	89	102	176	190	266	259	189	135	271
MSTRG.3845	455	1150	934	854	322	383	561	809	295	396	673	111	96	199
MSTRG.18718	1786	7261	1712	2603	2147	1408	3676	6403	3018	7296	13066	2107	9416	2839
MSTRG.18716	519	741	571	767	533	471	479	713	797	768	649	649	600	718
MSTRG.18711	358	362	370	379	253	179	259	319	331	371	378	287	269	429
MSTRG.18712	53985	91779	58433	83195	41158	46186	64100	97257	73850	115437	182407	63835	103378	70374
