"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","molecular_function","GO:0003674","0.000019937885008153444","4.7003209131259105","17055","353","202","39530","LOC111131721,LOC111136710,LOC111136736,LOC111121126,LOC111103474,LOC111127822,LOC111133473,LOC111099738,LOC111122323,LOC111122337,LOC111109904,LOC111110538,LOC111124617,LOC111121595,LOC111120891,LOC111120892,LOC111119597,LOC111121460,LOC111121095,LOC111120052,LOC111120050,LOC111118943,LOC111121380,LOC111120668,LOC111120667,LOC111119904,LOC111120542,LOC111122041,LOC111119390,LOC111119384,LOC111122184,LOC111121901,LOC111121989,LOC111120189,LOC111120135,LOC111120488,LOC111120714,LOC111119826,LOC111122281,LOC111118587,LOC111118591,LOC111120270,LOC111119527,LOC111121527,LOC111120388,LOC111119759,LOC111123111,LOC111122736,LOC111126461,LOC111125194,LOC111126760,LOC111126423,LOC111123250,LOC111124238,LOC111125041,LOC111125040,LOC111122629,LOC111123535,LOC111124758,LOC111124757,LOC111123885,LOC111123710,LOC111123703,LOC111130275,LOC111130883,LOC111130599,LOC111130899,LOC111131462,LOC111130738,LOC111129474,LOC111129477,LOC111129918,LOC111131730,LOC111131488,LOC111129238,LOC111131830,LOC111131560,LOC111131056,LOC111129691,LOC111129828,LOC111129299,LOC111129857,LOC111129858,LOC111129786,LOC111136051,LOC111136760,LOC111137049,LOC111135725,LOC111138472,LOC111135614,LOC111136174,LOC111135147,LOC111136184,LOC111137071,LOC111132160,LOC111136305,LOC111136304,LOC111137505,LOC111137718,LOC111136310,LOC111099230,LOC111134340,LOC111134341,LOC111138049,LOC111132178,LOC111133522,LOC111132186,LOC111134699,LOC111134700,LOC111137562,LOC111137949,LOC111136239,LOC111133534,LOC111136237,LOC111136234,LOC111136236,LOC111136235,LOC111134969,LOC111135001,LOC111133341,LOC111133343,LOC111137731,LOC111135360,LOC111135053,LOC111137761,LOC111136180,LOC111136723,LOC111137319,LOC111136448,LOC111136449,LOC111136451,LOC111135575,LOC111132244,LOC111134961,LOC111135868,LOC111135869,LOC111135867,LOC111136935,LOC111136727,LOC111137552,LOC111137553,LOC111137596,LOC111135795,LOC111134649,LOC111134641,LOC111137365,LOC111138013,LOC111138392,LOC111137819,LOC111135002,LOC111135841,LOC111135843,LOC111132115,LOC111132209,LOC111099069,LOC111138175,LOC111138386,LOC111138387,LOC111135753,LOC111135746,LOC111135736,LOC111135742,LOC111135739,LOC111135744,LOC111135748,LOC111135738,LOC111135754,LOC111135745,LOC111135734,LOC111135740,LOC111135741,LOC111138462,LOC111135946,LOC111133801,LOC111133803,LOC111133802,LOC111134966,LOC111137040,LOC111137041,LOC111136036,LOC111136549,LOC111134273,LOC111135726,LOC111132337,LOC111132338,LOC111133489,LOC111136769,LOC111138064,LOC111136126,LOC111133010,LOC111135491,LOC111135492,LOC111136272,LOC111136270,LOC111136266,LOC111136263,LOC111136264,LOC111136267,LOC111136279,LOC111138112,LOC111099222,LOC111133224"
"GO:MF","G protein-coupled receptor activity","GO:0004930","0.0005378802730913481","3.2693143832970253","750","23","6","39530","LOC111121126,LOC111133473,LOC111099738,LOC111109904,LOC111121595,LOC111121460"
"GO:MF","catalytic activity","GO:0003824","0.000543434085652004","3.2648531249422006","5656","327","77","39530","LOC111136710,LOC111136736,LOC111103474,LOC111119597,LOC111120052,LOC111120050,LOC111121380,LOC111120668,LOC111120542,LOC111122041,LOC111120189,LOC111120135,LOC111118587,LOC111118591,LOC111119527,LOC111121527,LOC111125194,LOC111126760,LOC111123250,LOC111124758,LOC111124757,LOC111123710,LOC111130883,LOC111130599,LOC111131462,LOC111130738,LOC111129477,LOC111131730,LOC111131830,LOC111131560,LOC111136051,LOC111136760,LOC111135147,LOC111136310,LOC111099230,LOC111134340,LOC111138049,LOC111132178,LOC111134699,LOC111134700,LOC111137562,LOC111137949,LOC111133534,LOC111136237,LOC111136234,LOC111136236,LOC111136235,LOC111135001,LOC111137731,LOC111135360,LOC111136180,LOC111136723,LOC111136449,LOC111136451,LOC111132244,LOC111134961,LOC111135867,LOC111136727,LOC111137596,LOC111135795,LOC111135002,LOC111135841,LOC111138175,LOC111138386,LOC111135736,LOC111135739,LOC111135744,LOC111135754,LOC111135740,LOC111135741,LOC111138462,LOC111135946,LOC111137040,LOC111137041,LOC111136549,LOC111135726,LOC111132337"
"GO:MF","alcohol binding","GO:0043178","0.0018469286930697213","2.73354987164376","8","350","3","39530","LOC111138392,LOC111138462,LOC111138112"
"GO:MF","transmembrane signaling receptor activity","GO:0004888","0.0018469286930697213","2.73354987164376","1211","54","9","39530","LOC111121126,LOC111133473,LOC111099738,LOC111109904,LOC111121595,LOC111121460,LOC111119904,LOC111120714,LOC111122281"
"GO:MF","molecular transducer activity","GO:0060089","0.0018469286930697213","2.73354987164376","1238","54","9","39530","LOC111121126,LOC111133473,LOC111099738,LOC111109904,LOC111121595,LOC111121460,LOC111119904,LOC111120714,LOC111122281"
"GO:MF","signaling receptor activity","GO:0038023","0.0018469286930697213","2.73354987164376","1238","54","9","39530","LOC111121126,LOC111133473,LOC111099738,LOC111109904,LOC111121595,LOC111121460,LOC111119904,LOC111120714,LOC111122281"
"GO:MF","serine-type endopeptidase activity","GO:0004252","0.00424144168055038","2.3724865001321476","81","45","3","39530","LOC111120542,LOC111122041,LOC111120189"
"GO:MF","serine-type peptidase activity","GO:0008236","0.005614942652675668","2.2506546749775356","96","45","3","39530","LOC111120542,LOC111122041,LOC111120189"
"GO:MF","serine hydrolase activity","GO:0017171","0.005614942652675668","2.2506546749775356","96","45","3","39530","LOC111120542,LOC111122041,LOC111120189"
