"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","GO:0016616","0.000028808431561076764","4.540480385694311","58","261","7","39530","LOC111118136,LOC111133483,LOC111133008,LOC111133134,LOC111133534,LOC111136237,LOC111136236"
"GO:MF","oxidoreductase activity, acting on CH-OH group of donors","GO:0016614","0.000043905715875018675","4.357478937357224","68","261","7","39530","LOC111118136,LOC111133483,LOC111133008,LOC111133134,LOC111133534,LOC111136237,LOC111136236"
"GO:MF","oxidoreductase activity","GO:0016491","0.012130385262802055","1.9161254056584087","845","310","18","39530","LOC111121380,LOC111119483,LOC111118136,LOC111123103,LOC111124500,LOC111138049,LOC111133829,LOC111133483,LOC111133008,LOC111133134,LOC111133534,LOC111136237,LOC111136234,LOC111136236,LOC111136235,LOC111136662,LOC111136737,LOC111135491"
"GO:MF","transcription regulator activity","GO:0140110","0.014317670522414656","1.8441276357681364","490","240","11","39530","LOC111119610,LOC111119651,LOC111124727,LOC111124726,LOC111132160,LOC111136305,LOC111136304,LOC111137505,LOC111137718,LOC111132186,LOC111135254"
"GO:MF","peptide-lysine-N-acetyltransferase activity","GO:0061733","0.02666750990808494","1.5740175348787873","16","127","2","39530","LOC111127355,LOC111126181"
"GO:MF","inositol phosphate phosphatase activity","GO:0052745","0.02666750990808494","1.5740175348787873","5","325","2","39530","LOC111102071,LOC111101249"
"GO:MF","cis-trans isomerase activity","GO:0016859","0.02666750990808494","1.5740175348787873","50","1","1","39530","LOC111108931"
"GO:MF","flavin adenine dinucleotide binding","GO:0050660","0.02666750990808494","1.5740175348787873","99","310","5","39530","LOC111121380,LOC111123103,LOC111136234,LOC111136235,LOC111135491"
"GO:MF","calcium ion binding","GO:0005509","0.02666750990808494","1.5740175348787873","812","166","11","39530","LOC111120417,LOC111120674,LOC111121579,LOC111121344,LOC111125408,LOC111124238,LOC111122493,LOC111126468,LOC111124714,LOC111123633,LOC111124502"
"GO:MF","DNA-binding transcription factor activity","GO:0003700","0.02666750990808494","1.5740175348787873","412","240","9","39530","LOC111119651,LOC111124727,LOC111124726,LOC111136305,LOC111136304,LOC111137505,LOC111137718,LOC111132186,LOC111135254"
