"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","liver development","GO:0001889","false","0.052270055505121676","1.2817470387284353","1","182","1","39530","LOC111137553"
"GO:BP","pancreas development","GO:0031016","false","0.052270055505121676","1.2817470387284353","1","182","1","39530","LOC111137553"
"GO:BP","endocrine pancreas development","GO:0031018","false","0.052270055505121676","1.2817470387284353","1","182","1","39530","LOC111137553"
"GO:BP","mitochondrial respirasome assembly","GO:0097250","true","0.052270055505121676","1.2817470387284353","1","182","1","39530","LOC111133807"
"GO:BP","regulation of protein localization","GO:0032880","false","0.052270055505121676","1.2817470387284353","1","182","1","39530","LOC111137553"
"GO:BP","endocrine system development","GO:0035270","false","0.052270055505121676","1.2817470387284353","1","182","1","39530","LOC111137553"
"GO:BP","enteroendocrine cell differentiation","GO:0035883","false","0.052270055505121676","1.2817470387284353","1","182","1","39530","LOC111137553"
"GO:BP","sphingoid metabolic process","GO:0046519","false","0.052270055505121676","1.2817470387284353","1","182","1","39530","LOC111134961"
"GO:BP","hormone secretion","GO:0046879","false","0.052270055505121676","1.2817470387284353","1","182","1","39530","LOC111137553"
"GO:BP","regulation of hormone secretion","GO:0046883","false","0.052270055505121676","1.2817470387284353","1","182","1","39530","LOC111137553"
"GO:BP","gland development","GO:0048732","false","0.052270055505121676","1.2817470387284353","1","182","1","39530","LOC111137553"
"GO:BP","regulation of protein secretion","GO:0050708","false","0.052270055505121676","1.2817470387284353","1","182","1","39530","LOC111137553"
"GO:BP","regulation of insulin secretion","GO:0050796","false","0.052270055505121676","1.2817470387284353","1","182","1","39530","LOC111137553"
"GO:BP","regulation of protein transport","GO:0051223","true","0.052270055505121676","1.2817470387284353","1","182","1","39530","LOC111137553"
"GO:BP","hepaticobiliary system development","GO:0061008","false","0.052270055505121676","1.2817470387284353","1","182","1","39530","LOC111137553"
"GO:BP","regulation of establishment of protein localization","GO:0070201","false","0.052270055505121676","1.2817470387284353","1","182","1","39530","LOC111137553"
"GO:BP","hepatocyte differentiation","GO:0070365","true","0.052270055505121676","1.2817470387284353","1","182","1","39530","LOC111137553"
"GO:BP","regulation of peptide transport","GO:0090087","false","0.052270055505121676","1.2817470387284353","1","182","1","39530","LOC111137553"
"GO:BP","regulation of spindle assembly","GO:0090169","true","0.052270055505121676","1.2817470387284353","1","182","1","39530","LOC111134649"
"GO:BP","regulation of peptide hormone secretion","GO:0090276","false","0.052270055505121676","1.2817470387284353","1","182","1","39530","LOC111137553"
"GO:BP","insulin secretion","GO:0030073","false","0.052270055505121676","1.2817470387284353","1","182","1","39530","LOC111137553"
"GO:BP","peptide hormone secretion","GO:0030072","false","0.052270055505121676","1.2817470387284353","1","182","1","39530","LOC111137553"
"GO:BP","regulation of mitotic spindle assembly","GO:1901673","false","0.052270055505121676","1.2817470387284353","1","182","1","39530","LOC111134649"
