gene_id,CASE_J03,CASE_J09,CASE_J12,CASE_J13,CA_J06,CA_J08,CA_J11,CA_J18,CON_J02,CON_J05,CON_J10,SE_J01,SE_J04,SE_J07
MSTRG.11447|LOC111126260,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.37002|LOC111106954,4,5,6,4,2,12,1,3,8,6,4,3,0,11
MSTRG.36858|LOC111108567,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.21737|LOC111135544,29,34,53,90,56,39,31,41,144,67,69,11,39,5
gene580|LOC111110864,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.21673|LOC111132416,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.15054|LOC111122540,1,0,0,0,0,0,0,0,0,0,0,0,0,0
gene22569|LOC111132724,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.31305|LOC111101287,2,0,0,0,0,0,0,4,1,0,2,2,0,3
gene23269|LOC111101767,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.33977|LOC111102949,1,1,3,1,2,2,0,2,2,2,2,0,2,0
gene26756|LOC111103454,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.21833|LOC111133996,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.7680|LOC111119282,0,0,0,0,1,0,0,0,0,0,0,0,0,1
MSTRG.38779|LOC111111143,39,71,57,80,73,99,37,61,80,80,71,52,38,114
MSTRG.18311,1008,1288,985,1464,1042,1126,921,1061,1684,1481,1186,1142,998,1610
MSTRG.12507|LOC111125299,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene34300|LOC111114612,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene35728|LOC111114802,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.1058|LOC111102782,0,0,0,0,1,1,0,1,1,0,1,0,0,0
MSTRG.34143|LOC111104783,0,0,0,0,0,0,0,0,9,0,0,0,0,0
gene15866|LOC111129701,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.16562|LOC111127739,0,0,0,0,0,0,0,0,0,0,0,3,0,2
MSTRG.32083|LOC111103558,36,21,26,74,22,43,15,58,73,30,20,55,20,43
gene7793|LOC111119957,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.34687,76,136,80,96,80,40,94,98,94,81,88,62,42,104
MSTRG.44225,49,59,65,68,50,44,41,63,57,45,75,66,46,75
gene27569|LOC111104086,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.6774|LOC111120072,1,8,7,7,2,4,4,8,9,3,0,6,4,3
MSTRG.14113|LOC111127095,0,0,0,2,0,0,0,2,0,2,3,0,0,0
MSTRG.23075|LOC111137391,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.25862|LOC111138511,0,4,0,14,3,8,7,7,2,0,0,0,0,0
MSTRG.20438,956,1134,831,1101,846,615,752,895,1048,1017,1196,791,665,1045
MSTRG.11298|LOC111123014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.37179|LOC111110254,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.34593|LOC111104004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene27862|LOC111105102,0,13,8,1,8,3,9,1,8,0,8,8,0,15
MSTRG.42721|LOC111110833,0,0,0,0,0,0,0,0,0,0,4,0,0,0
MSTRG.5919,8,13,19,16,10,10,4,17,46,28,22,22,11,32
MSTRG.459|LOC111125589,0,15,0,0,0,0,9,20,12,0,0,16,16,18
MSTRG.16291|LOC111129004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.43179,0,38,15,0,42,0,0,0,0,0,0,0,0,0
MSTRG.43178,55,47,43,57,36,31,28,47,61,45,37,52,45,55
MSTRG.43947,12,15,26,14,8,13,11,20,8,7,13,7,4,13
MSTRG.19849,1890,2621,1989,2459,1531,1232,1663,2413,2037,2103,2961,3010,2995,2354
MSTRG.43175,165,153,121,193,159,108,149,218,136,248,271,172,113,235
MSTRG.19847,437,681,321,771,413,255,486,478,672,669,1030,485,750,802
MSTRG.43176,457,345,225,182,582,99,152,159,891,285,283,310,107,221
MSTRG.5816,86,114,88,107,63,79,103,135,123,122,71,91,11,124
MSTRG.43170,59,47,35,32,33,25,30,49,33,55,47,38,38,81
MSTRG.19840,2050,3060,2567,3183,1889,1802,1868,2368,2968,2422,2253,2591,2118,3385
MSTRG.43172,43,29,18,12,45,25,33,36,44,35,21,29,32,45
MSTRG.19495|LOC111128308,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.15171,872,1349,958,1310,667,586,755,1166,1035,1589,2130,1220,1829,1042
MSTRG.32270,626,674,680,914,418,444,459,528,574,505,467,794,498,843
MSTRG.15177,2146,2484,1819,2707,1690,1352,1613,2107,2222,2751,3363,2922,2861,2657
MSTRG.15174,3523,5650,3866,5884,2694,2617,3239,5236,4313,4860,7255,4403,4843,3700
MSTRG.15175,4118,9257,3472,12204,410,3132,5226,12666,3948,3953,10854,8938,11701,858
MSTRG.15179,1423,1939,1722,2171,1279,1288,1468,2066,1839,2284,2272,2205,2137,2222
gene30366|LOC111109556,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.10522,8,26,17,59,0,18,22,20,14,15,32,25,38,8
MSTRG.37300,19,9,2,1,5,5,0,6,4,2,3,3,0,1
MSTRG.10520,377,678,508,791,311,380,356,521,660,452,452,579,532,598
MSTRG.37302,21,14,12,20,8,11,11,23,20,16,18,17,28,9
MSTRG.37305,20,22,16,21,12,22,17,14,35,28,31,19,13,24
MSTRG.10527,36,29,20,28,25,25,27,31,27,29,33,47,24,40
MSTRG.37307,76,106,88,111,59,89,83,111,99,106,120,115,70,109
MSTRG.30145|LOC111101558,0,0,0,0,0,0,0,0,7,0,0,0,0,7
MSTRG.37309,294,285,306,350,211,127,219,230,256,267,250,231,176,320
MSTRG.37308,26,32,41,30,35,17,28,36,26,32,25,11,28,32
gene6095|LOC111117914,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.18315,40,119,39,50,35,43,38,64,110,79,68,84,71,161
MSTRG.44154|LOC111116569,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene22137|LOC111137254,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MSTRG.22597|LOC111137349,0,0,0,8,0,0,0,0,1,0,0,0,0,0
MSTRG.6651|LOC111120025,10,5,9,2,8,22,3,8,12,22,5,19,19,36
MSTRG.5662,211,280,136,196,175,84,186,275,204,276,516,169,176,240
gene26996|LOC111104365,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.5664,5282,10202,6011,10873,4042,4866,5896,10128,9548,16957,24479,7041,11863,8860
MSTRG.5666,1335,1959,1498,1931,1210,1093,1397,1850,1816,2122,2534,1618,1566,2184
MSTRG.5668,372,398,294,466,307,289,355,336,389,347,279,410,254,474
gene34567|LOC111113077,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene32134|LOC111106928,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.33970|LOC111105092,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.18382|LOC111129573,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene39099|LOC111117671,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.11419|LOC111122524,0,0,0,4,2,0,0,0,0,0,0,0,0,4
gene27589|LOC111104256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.13065|LOC111124253,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.38307,851,907,843,969,583,591,565,1041,821,866,1085,1059,1069,802
MSTRG.38300,410,606,489,795,495,500,470,684,807,601,611,416,348,840
MSTRG.38302,1080,1843,1338,2043,714,881,1114,1693,1241,1343,1924,1686,1870,1151
gene34938|LOC111115175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.17554,1315,1728,1407,1673,987,951,1077,1538,1558,1743,2183,1643,1635,1600
MSTRG.38308,664,1057,779,975,608,520,732,972,896,1119,1279,940,883,1202
MSTRG.17131|LOC111128167,0,0,0,0,0,0,0,0,2,0,0,0,0,0
MSTRG.26847|LOC111136981,0,0,0,15,0,0,0,0,0,3,0,0,0,14
gene16659|LOC111127962,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene29584|LOC111106436,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.3848,1262,1956,1369,2145,680,804,1269,1857,1177,1763,2906,1659,2271,1594
gene34096|LOC111110760,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.43822,1,20,13,13,13,4,25,4,13,4,3,13,5,13
gene10273|LOC111124225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.3847,130,168,165,272,147,89,102,176,190,266,259,189,135,271
MSTRG.3845,455,1150,934,854,322,383,561,809,295,396,673,111,96,199
MSTRG.44193|LOC111116586,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene23929|LOC111101784,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.18718,1786,7261,1712,2603,2147,1408,3676,6403,3018,7296,13066,2107,9416,2839
MSTRG.20153|LOC111131152,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.20687|LOC111128250,0,0,0,0,0,0,0,0,0,0,0,4,0,0
MSTRG.18716,519,741,571,767,533,471,479,713,797,768,649,649,600,718
MSTRG.18711,358,362,370,379,253,179,259,319,331,371,378,287,269,429
MSTRG.28919|LOC111135526,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.18712,53985,91779,58433,83195,41158,46186,64100,97257,73850,115437,182407,63835,103378,70374
MSTRG.28588|LOC111138157,0,0,0,0,0,0,0,0,8,0,3,0,0,0
MSTRG.438|LOC111137514,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.27196|LOC111135435,0,0,3,2,0,2,0,0,1,0,0,0,0,0
MSTRG.13698|LOC111126032,1,6,0,17,0,8,6,1,2,0,22,0,5,2
MSTRG.38097|LOC111106271,6,7,0,9,2,3,2,4,6,1,0,3,0,7
gene38511|LOC111116743,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene31827|LOC111109193,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.41935|LOC111115879,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.40385|LOC111114867,0,0,0,4,0,0,0,0,0,0,0,0,0,0
gene33019|LOC111115676,0,0,0,0,0,0,0,0,0,2,0,0,0,0
MSTRG.9723|LOC111120498,31,30,19,33,22,11,27,46,21,30,29,40,21,11
gene32560|LOC111109318,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.3156|LOC111134416,0,0,6,0,0,0,0,0,0,0,0,0,0,7
MSTRG.4858,776,2115,1173,1204,612,664,952,1156,1001,1205,1583,793,947,1211
MSTRG.16189,459,501,544,554,507,362,478,422,634,436,429,377,180,837
MSTRG.3192|LOC111119670,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene33818|LOC111113553,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene29132|LOC111106206,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.6313,554,800,568,727,451,309,494,690,644,776,925,529,798,582
MSTRG.6312,465,519,593,606,298,295,403,419,500,556,566,571,418,691
MSTRG.6315,31,95,69,78,60,33,42,68,71,102,71,71,77,125
MSTRG.11393,1582,4217,1297,4579,255,1460,2859,5009,1985,1713,4303,3389,3461,594
MSTRG.6319,2732,4310,3572,4465,2391,2119,2886,3558,4549,3179,3973,3021,3131,4191
MSTRG.6318,62,56,73,89,58,45,21,53,94,100,83,68,0,180
gene30096|LOC111107385,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.43330|LOC111117302,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.13503|LOC111125324,0,3,10,3,1,0,2,5,1,0,0,0,6,2
gene17980|LOC111133960,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene28920|LOC111107738,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.30348|LOC111100014,0,0,1,0,0,0,0,0,0,0,0,0,0,0
gene39219|LOC111116533,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.33375,1354,2309,2069,2110,1589,1240,1271,1553,2213,1783,1546,1767,1539,2276
MSTRG.33376,230,464,379,473,129,261,206,367,435,476,373,407,499,334
MSTRG.33372,38,48,9,60,87,62,45,66,151,179,277,54,104,58
MSTRG.11063|LOC111124948,4,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.30937,20877,22582,19155,22784,18384,14781,17370,18158,25993,27086,27307,20690,14660,34127
MSTRG.30935,5587,7528,6302,8128,5371,6018,4772,5818,9008,7503,6716,7090,5383,9440
gene20913|LOC111138489,0,0,0,0,0,0,0,0,0,0,4,5,0,0
MSTRG.44250,3,15,11,28,0,0,4,12,1,4,13,4,10,2
MSTRG.30931,2006,2661,1995,2776,1949,2050,1682,2022,3212,2478,1585,2748,1532,3110
gene38121|LOC111117055,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene29168|LOC111109969,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene20243|LOC111137674,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene27865|LOC111105105,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.26328,360,557,382,559,311,349,345,429,530,529,316,481,300,497
gene16753|LOC111133648,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene2383|LOC111136133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene10139|LOC111125460,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene10716|LOC111125170,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.4785|LOC111138142,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.22227|LOC111132889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene15896|LOC111130296,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene30591|LOC111110490,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.37564|LOC111109964,1,0,1,1,1,1,1,1,2,1,1,0,1,1
MSTRG.7176|LOC111119035,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.44001,110,157,115,60,78,74,88,94,153,148,113,93,58,188
MSTRG.34548|LOC111104343,34,0,0,0,41,29,0,42,41,0,29,66,0,61
gene7238|LOC111119232,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.17670|LOC111131306,1,0,0,0,0,0,0,0,0,6,0,0,0,1
MSTRG.22161|LOC111138086,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene23827|LOC111100246,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.18840|LOC111129124,0,0,11,0,0,12,0,0,7,6,0,0,0,0
gene29874|LOC111109627,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene5242|LOC111118153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.24666|LOC111133944,7,3,0,12,2,1,5,3,2,5,3,14,1,1
MSTRG.4735|LOC111122759,0,0,0,4,0,10,3,6,0,5,0,0,2,13
MSTRG.33469|LOC111104831,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene20941|LOC111136383,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.38938|LOC111115679,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MSTRG.25227|LOC111136205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.18979|LOC111129615,0,13,8,0,9,9,3,0,4,0,0,4,0,2
MSTRG.15600|LOC111125146,7,2,3,13,10,3,6,3,10,4,0,23,0,36
MSTRG.29149|LOC111137985,0,0,0,0,0,3,8,0,0,0,0,0,0,0
gene33053|LOC111112912,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.43475|LOC111116869,31,30,39,45,71,118,36,69,116,137,48,129,69,153
MSTRG.11231|LOC111127402,4,7,4,14,0,4,0,0,7,0,0,0,0,0
gene8942|LOC111124966,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene23024|LOC111100106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.3409|LOC111121240,0,0,4,4,0,0,0,11,0,9,8,0,12,0
MSTRG.2461|LOC111124480,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.11809|LOC111124147,0,0,0,2,0,0,1,0,0,0,0,0,0,0
MSTRG.17216,1156,1423,1031,1472,1006,890,811,1010,1399,1141,1108,1263,838,1518
MSTRG.1537|LOC111122145,9,6,6,15,4,50,17,24,29,34,6,36,2,11
gene8023|LOC111121509,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.35438,119,200,179,211,84,102,93,164,128,119,186,149,168,168
gene28044|LOC111104433,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene35980|LOC111111101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.21332|LOC111133986,5,0,2,2,0,2,3,0,4,0,5,0,0,7
MSTRG.28405|LOC111138328,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.32423,1,9,6,25,7,9,6,5,14,8,4,11,1,6
MSTRG.35430,511,517,560,752,405,316,470,658,715,581,608,651,395,765
MSTRG.32421,35,60,31,67,60,34,45,35,41,43,47,68,9,75
MSTRG.35432,949,2085,1099,2883,228,859,1057,2504,1181,1136,2146,2365,2854,289
MSTRG.32427,156,216,185,262,168,196,105,218,251,245,173,183,181,126
MSTRG.35434,8568,10246,8719,9697,7969,6947,6521,8183,10685,8944,8968,8397,5448,12556
MSTRG.35437,123,304,166,276,136,127,172,209,266,173,258,174,213,226
gene37930|LOC111111241,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene39451|LOC111117566,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene242|LOC111101185,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene5881|LOC111120224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene23198|LOC111100107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.21751,9127,11077,10250,12492,7478,6205,7644,10486,10015,9626,10503,11166,9021,10685
MSTRG.36686|LOC111107655,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MSTRG.23455|LOC111137580,0,0,0,6,0,0,8,0,0,6,10,3,8,8
MSTRG.5172|LOC111118651,0,0,0,0,0,0,0,0,0,0,0,2,0,0
gene36398|LOC111114117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene3880|LOC111108555,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.19714|LOC111131176,3,0,0,0,0,2,0,5,0,0,3,0,0,4
MSTRG.961|LOC111099300,1,1,2,0,2,14,0,6,5,0,0,0,0,1
gene28138|LOC111102430,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.18145|LOC111128590,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.36475|Trnak-cuu,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.207,743,1086,849,921,618,464,622,978,970,1106,1580,806,1234,1108
MSTRG.23227|LOC111133527,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.202,1236,2165,1266,1390,805,572,983,1114,1183,1360,1594,1081,1042,1703
gene3222|LOC111119701,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.17333|LOC111128428,0,0,0,0,0,0,0,0,2,0,0,0,0,0
MSTRG.42237|LOC111112080,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.43828,37,33,19,26,29,29,38,27,17,36,20,16,33,45
gene8776|LOC111124035,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene33073|LOC111110730,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene6237|LOC111120039,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSTRG.9993,1974,2928,2036,3102,1398,1327,1876,2876,2088,2166,2739,2650,2409,1794
