baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MSTRG.27823|LOC111135461	1.33642904579213	-30	4.44711027266312	-6.7459537004093	1.52025095823048e-11	1.71542779279099e-08
MSTRG.2688|LOC111104470	6.65590068126884	-30	4.29027366571022	-6.99256092677103	2.69913231862932e-12	4.97018152954277e-09
MSTRG.36356|LOC111108764	4.64888530622633	-30	4.43441189265307	-6.76527141055705	1.33059523653429e-11	1.71542779279099e-08
MSTRG.26487|LOC111138128	1.92789532913163	-30	4.44058539555304	-6.75586602389025	1.41984576371611e-11	1.71542779279099e-08
MSTRG.26362|LOC111134476	4.17120453095765	-30	4.4415423311141	-6.75441046454575	1.43417199936326e-11	1.71542779279099e-08
MSTRG.18996|LOC111129706	1.4713369882862	-30	4.442854514529	-6.75241557019123	1.45403680230541e-11	1.71542779279099e-08
MSTRG.9685|LOC111119341	2.67491963611964	-30	4.29063779437523	-6.99196749707659	2.7105768788835e-12	4.97018152954277e-09
MSTRG.43048|LOC111117505	3.01290075474639	-30	4.14974487167291	-7.22936009989113	4.85275119289497e-13	1.29427285906502e-09
MSTRG.26807	2.71310240767735	-29.9935549111743	4.44438785029223	-6.74863579001148	1.49241688238742e-11	1.71542779279099e-08
MSTRG.14905|LOC111123704	1.75734185257337	-29.9542494692485	4.44991649141949	-6.73141833717723	1.68017124423027e-11	1.8256616282677e-08
MSTRG.6794|LOC111122063	2.00259047042614	-29.8514148455889	4.44963530499731	-6.70873291841768	1.96321613816217e-11	2.05702982362149e-08
MSTRG.32545|LOC111104540	2.38141820505066	-29.1493011842676	4.44912427890444	-6.55169407662521	5.68879916792252e-11	4.76851399967174e-08
MSTRG.935|LOC111110056	2.46513488734193	-29.1337473637409	3.60227268260056	-8.08760189212233	6.08509201924811e-16	2.55034899515287e-12
MSTRG.25844|LOC111138502	60.527602545243	-28.45980933691	4.48583689331688	-6.34437007268591	2.23337378471224e-10	1.72428210778652e-07
MSTRG.17142|LOC111130235	4.21732339706945	-25.361345851541	3.80032206682683	-6.67347277561584	2.49819944531757e-11	2.4060862265931e-08
MSTRG.30096|LOC111100408	5.46937244617664	24.8937869200518	3.62377564907319	6.8695717756199	6.43949115749608e-12	9.91961849197371e-09
MSTRG.13929|LOC111125790	13.5147185991384	24.7570136638303	4.41761064220908	5.60416380458787	2.09262737483162e-08	8.89760897432029e-06
MSTRG.5332|LOC111118904	3.69714483949685	-24.245962137866	4.48667201605264	-5.40399700515607	6.51720328082514e-08	2.21967488350092e-05
MSTRG.8362|LOC111122281	1.60741332645098	-24.1488575714754	4.45116510669943	-5.42528910804253	5.78608095924013e-08	1.9970828609669e-05
MSTRG.8865|LOC111118351	4.85787120806524	24.1112887323538	4.3855373973265	5.49790973098359	3.84319565146032e-08	1.44303338818759e-05
MSTRG.17924|LOC111129143	29.2290127745973	-23.7851278161758	3.70958428192047	-6.41180412913065	1.43807528586533e-10	1.17195146490881e-07
MSTRG.836|LOC111118299	31.15124339834	-23.7144666324453	3.32467940913353	-7.13285815387107	9.8305853118638e-13	2.21853624522662e-09
MSTRG.38291	19.917431702378	23.393263053121	1.84135158428969	12.704397819901	5.5898045531918e-37	1.63993685981541e-32
MSTRG.18007	8.41277899679788	-23.1958555622733	2.37832204946624	-9.75303389525366	1.79036106111593e-22	1.31314032027548e-18
MSTRG.7602|LOC111119807	5.19738474104417	-23.1206063931034	4.43802251818131	-5.20966405609365	1.89182863373227e-07	5.44141847612132e-05
gene38408|LOC111117894	1.91955654733938	-22.885655512289	4.49084423994926	-5.09606975648472	3.46777392387531e-07	8.77047856712532e-05
MSTRG.41697	2.99580509091213	-22.7767206093448	4.1475904989222	-5.49155482327959	3.98410608914018e-08	1.44303338818759e-05
MSTRG.29556|LOC111100710	4.38463952566666	22.712881814433	2.91193423292759	7.79992953055058	6.19417552141613e-15	2.01916357163674e-11
MSTRG.21367|LOC111135361	1.81195958587256	-22.6505038281864	4.43841444309888	-5.1032872478605	3.33803740709301e-07	8.5157688216778e-05
MSTRG.5546	5.0120904106003	-22.3289108187453	3.17728549322527	-7.02766901695043	2.10012341864952e-12	4.40095863259569e-09
MSTRG.4209|LOC111114896	9.76740552325602	-22.3016200022825	4.08791692065802	-5.45549736825197	4.88359550117715e-08	1.74725518065287e-05
MSTRG.11412|LOC111126786	74.2948560323908	22.249876683062	3.03846165381528	7.32274394680074	2.42951106972242e-13	7.12769957635163e-10
MSTRG.9397|LOC111119368	2.45163573858623	22.2089183420346	4.45731541902323	4.98257723634496	6.27429335611576e-07	0.00014269396781529
MSTRG.4421|LOC111109144	2.11980463438962	-22.1589182946684	4.4458282916326	-4.98420470632507	6.22171835243452e-07	0.00014269396781529
MSTRG.36231|LOC111107141	2.29663595607835	-22.1156955173519	4.40481564534029	-5.02079934735688	5.14568906706791e-07	0.000121745343427128
MSTRG.23390|LOC111133625	6.97732986074929	21.6555551502961	3.11119835761081	6.96051895801529	3.39021533672245e-12	5.85071397345665e-09
MSTRG.29752|LOC111101700	4.45981431297475	-21.6283398815632	4.3172068160484	-5.00979934553145	5.44868147191483e-07	0.00012788273361843
MSTRG.40377|LOC111113904	2.20021421616258	-21.4988382803128	4.48729175732502	-4.79104980085555	1.65910936165358e-06	0.000324499669681284
gene27155|LOC111105575	2.59495813979238	21.3940022311264	4.06461436160052	5.26347651409224	1.41356572565154e-07	4.27538054218195e-05
MSTRG.21387	12.9218151127205	21.3891004145819	2.05840329774444	10.3911125861582	2.72159621445122e-25	3.9923094869785e-21
MSTRG.28728|LOC111135723	1.68630857289159	-21.3137589691443	4.48708684489413	-4.75002149632948	2.03395026428488e-06	0.000382513031112755
gene39382|LOC111116816	3.16724199968328	-21.1899925119213	3.62255781428991	-5.84945599165682	4.93183344239095e-09	2.73000244401634e-06
MSTRG.31886|LOC111100316	2.6645941335079	20.9477519308923	3.53757991901861	5.92149220948304	3.19033421898932e-09	1.88385620973064e-06
MSTRG.40941|LOC111114542	1.75179879754166	-20.8907237759485	4.4434692613969	-4.70144442259089	2.58327579603375e-06	0.000460737108628493
MSTRG.14220|LOC111125117	3.16022312497371	20.6792571633018	3.58520056104581	5.76794988486492	8.02416578357168e-09	3.85922911079387e-06
MSTRG.28460|LOC111132090	2.06229352988225	-20.6543588874577	3.55532496220123	-5.80941520312388	6.26914369148824e-09	3.17110582104969e-06
MSTRG.43645	5.57115587564237	20.5639094520742	3.08262886807374	6.6709001738909	2.54239119995863e-11	2.4060862265931e-08
MSTRG.24216|LOC111135753	3.11186745329645	-20.4873861363352	4.25901776423542	-4.81035470393562	1.5066269013501e-06	0.000300689932189179
MSTRG.7068|LOC111120629	1.80482987965781	-20.2969702828068	4.44793240612578	-4.56323712447909	5.03708683918598e-06	0.000811967327956254
