baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MSTRG.18697	525.709203825987	3.13040949023531	0.236465724093282	13.2383223921299	5.27131478997134e-40	1.54649833308179e-35
MSTRG.27587	199.353153235043	3.7528881932946	0.288206732384906	13.0215146684448	9.23212346551634e-39	1.35426019115659e-34
MSTRG.36870	507.130038833681	-3.29598146260219	0.309662119768104	-10.6437993289926	1.86371427191885e-26	1.82258831031851e-22
MSTRG.3386	341.29706914975	3.20572415059792	0.311987089891845	10.2751820650951	9.11721294799058e-25	6.68701983670369e-21
MSTRG.29474|LOC111100928	3.05873921280983	-30	2.94354241594881	-10.1918014965414	2.15728961236157e-24	1.26581125294928e-20
MSTRG.20796	1175.29806139097	-1.74089017048206	0.184415409881298	-9.44004718262221	3.72611578356083e-21	1.8219464143018e-17
MSTRG.11095	5.62947098536889	-30	3.22180055656401	-9.31156335511794	1.25964401688643e-20	5.2793480239163e-17
MSTRG.30530|LOC111100574	4.09856314107324	-30	3.47427301982913	-8.63489997152713	5.87784482088017e-18	2.15555264193728e-14
MSTRG.38291	19.917431702378	17.616595078244	2.08014495119729	8.4689266813374	2.47664499690679e-17	8.07331232436126e-14
MSTRG.37447	3545.30448070147	2.12685387761431	0.253100224665646	8.4032081774086	4.3444353998862e-17	1.27457045761861e-13
MSTRG.8010	207.52215006512	-3.10022976066562	0.380637983821137	-8.14482498447246	3.79830889561107e-16	1.01304351254034e-12
MSTRG.957	107.673761530042	-2.35663229315426	0.289953791224577	-8.12761331107751	4.37825291979573e-16	1.07040986800806e-12
gene13796|LOC111131197	2.34306356581985	-30	3.86884511368549	-7.7542520102134	8.88656988318383e-15	2.00549374794498e-11
MSTRG.26769|LOC111135893	2.14944970431808	-30	3.88681478863176	-7.7184022474507	1.17796950033842e-14	2.46851922863776e-11
MSTRG.21387	12.9218151127205	17.3502636342208	2.26093015688168	7.67394940591647	1.66779886190403e-14	3.07734806745873e-11
MSTRG.12342|LOC111124588	8.5950871899376	-23.2202391618215	3.02616945225565	-7.67314571380447	1.67828649121752e-14	3.07734806745873e-11
MSTRG.18418|LOC111129337	2.17274328457508	-30	3.91399631525583	-7.66480026643539	1.79109711493163e-14	3.09101218575672e-11
MSTRG.4928	8.09632010399263	19.0222693890758	2.48622370610061	7.65106910629147	1.99315185268589e-14	3.24861605856104e-11
MSTRG.22091	816.914603100252	2.66546027643753	0.355201611880236	7.5040770854842	6.18628938667396e-14	9.55228200138109e-11
MSTRG.19033|LOC111128823	4.29236291249574	22.9757133565064	3.1243452925965	7.35376893551106	1.92694724805161e-13	2.8266389181669e-10
