baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MSTRG.18697	525.709203825987	3.19946723939934	0.219636003530073	14.5671346590554	4.54560507801358e-48	1.33358961778762e-43
MSTRG.27587	199.353153235043	3.32915628796938	0.267912785083724	12.426268820762	1.8821623249783e-35	2.76094391451066e-31
MSTRG.22309	3.38130954844611	-29.999259164265	2.74616884386646	-10.9240403157541	8.84706575477761e-28	8.65184050378885e-24
gene22312|LOC111133547	3.39265496118166	-29.999743493151	2.95681397434899	-10.1459691929913	3.45333333558858e-24	2.53284733498745e-20
MSTRG.34573|LOC111105220	3.4829147878386	-29.2167740838593	3.02123870532654	-9.67046199704418	4.02556660920282e-22	2.36204146361585e-18
MSTRG.21387	12.9218151127205	19.846843513782	2.12061196851187	9.35901702361389	8.04819381084627e-21	3.9352985003768e-17
MSTRG.32433|LOC111104333	8.7102031735082	-23.4080502625054	2.5588272729646	-9.14796028236223	5.80186211320953e-20	2.43164329539059e-16
MSTRG.29485|LOC111100923	5.47303032004561	-29.9888755086039	3.34726429982387	-8.95921947668782	3.26984717828373e-19	1.1991347064561e-15
MSTRG.27179|LOC111136691	4.26244703450838	-29.9988263798659	3.4286583787063	-8.74943580444577	2.14422064572615e-18	6.98968281159043e-15
MSTRG.3386	341.29706914975	2.42147633781481	0.290279610242841	8.34187539313926	7.31214832237556e-17	2.14523807481854e-13
MSTRG.2296	45.902857762425	-25.6967156275404	3.13778292446573	-8.18944976313675	2.6242313483345e-16	6.99906357249431e-13
MSTRG.6002|LOC111121152	5.33692638699464	-19.1484606340956	2.41333421249615	-7.93444212365848	2.11443594200377e-15	5.16944347220887e-12
MSTRG.37447	3545.30448070147	1.86934369914184	0.23691513355699	7.89035158318483	3.01336389008027e-15	6.80046690824422e-12
MSTRG.14261|LOC111124327	2.68341742432693	-28.9152877932484	3.71168017167904	-7.79035004521095	6.68238045198155e-15	1.31698483863892e-11
MSTRG.25950|LOC111138393	1.92174360317834	-29.9959673940188	3.85087653545791	-7.78938694030396	6.73351032094343e-15	1.31698483863892e-11
MSTRG.25487	19.6628290172231	-25.0354466775781	3.25306281489721	-7.69596165279372	1.40433926394586e-14	2.57503158285273e-11
MSTRG.26617|LOC111138424	3.11602621487952	-20.5045325858306	2.67435336990997	-7.6670992010756	1.75929712968994e-14	3.03613289357902e-11
MSTRG.27048|LOC111136074	2.82585211593721	-19.5801074620358	2.55704407529377	-7.65732106506075	1.8985159100322e-14	3.09436998714026e-11
MSTRG.17608|LOC111131096	3.12429977542227	-28.3059193074426	3.71299614044405	-7.62347124445366	2.46943330111077e-14	3.81306495726251e-11
gene38841|LOC111117717	2.48128597154159	-27.4372937826328	3.64576441249811	-7.52579999096335	5.23984988315153e-14	7.68633579359498e-11
MSTRG.4928	8.09632010399263	17.6787249634073	2.36662507661992	7.47001505986599	8.0185643410409e-14	1.06931200289754e-10
MSTRG.19895|LOC111129350	2.38319328014514	-29.4157556184887	3.93623635351233	-7.47306639557881	7.83472904470333e-14	1.06931200289754e-10
MSTRG.15942	6.03889542423952	18.7882554257013	2.54150634106123	7.39256681053804	1.44021092019623e-13	1.83708295550943e-10
MSTRG.1489|LOC111114407	4.42601944148361	-21.3906588780825	2.91026953871913	-7.35006108317272	1.9811629688376e-13	2.4218066324899e-10
