baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MSTRG.37002|LOC111106954	4.93750894311178	0.327204391794319	1.2813122297074	0.255366634461172	0.798439938493995	0.98933116430481
MSTRG.21737|LOC111135544	49.9739483360122	-1.21182028486585	0.780670438244482	-1.55228150766271	0.120594880682393	0.634271947256734
MSTRG.38779|LOC111111143	67.9055349125375	-0.0985301240113717	0.471772722505324	-0.208850828611143	0.834564690671051	0.994494674854074
MSTRG.18311	1199.24127824895	-0.101079363983817	0.181222004692019	-0.557765400264711	0.577004592158853	0.95444207479673
MSTRG.32083|LOC111103558	37.1798482624684	-0.18671461350703	0.563903080339404	-0.331111178528497	0.740560508210459	0.983796019915488
MSTRG.34687	81.9565361092958	0.1597802661804	0.352973207851674	0.452669671879296	0.650786621298707	0.968488277146264
MSTRG.44225	56.411488435281	0.0115003835791439	0.344934030583103	0.0333408204452973	0.973402801833404	0.999976267802906
MSTRG.6774|LOC111120072	4.57030300348523	0.127418480296687	1.34104019167816	0.0950146618180307	0.924303181161814	0.999534891949573
MSTRG.25862|LOC111138511	3.32157660174668	1.96249201955563	2.73180395361339	0.718386843594623	0.472518796617699	0.927336708486859
MSTRG.20438	906.235192033486	0.00511803451122205	0.130890979701421	0.0391015066347348	0.968809459768585	0.999976267802906
gene27862|LOC111105102	5.74536604321894	0.73710042272827	1.88739200979495	0.390539124306429	0.696137930492529	0.975891506373297
MSTRG.5919	17.3945892294548	-1.3614948512243	0.601621740730589	-2.26304130826614	0.0236331429903856	0.316249441515277
MSTRG.459|LOC111125589	7.06834689432183	-3.63683397315904	2.89561489244079	-1.25597985514346	0.209123273940277	0.76257766024599
MSTRG.43179	7.40723709786969	24.8303337246773	4.89476772875116	5.07283186877847	3.91938772218686e-07	0.000105492657792218
MSTRG.43178	44.8693318946501	0.183378481677275	0.357933016836468	0.512326253940011	0.608422693906641	0.96084415589624
MSTRG.43947	12.1854410269086	0.663999981658159	0.746867866708375	0.889046123492454	0.373978292042191	0.886483489016353
MSTRG.19849	2181.73545362552	-0.0536658990141299	0.18734800268809	-0.286450339710728	0.774533223655915	0.987197712126369
MSTRG.43175	170.963708387136	-0.42303407115211	0.350429972455352	-1.20718575579607	0.227360614831742	0.780543200326428
MSTRG.19847	568.650963746514	-0.551680032440091	0.250114118387355	-2.20571327999044	0.0274040814906977	0.341223166426621
MSTRG.43176	308.562922755881	-0.053249889580064	0.486540980656482	-0.109445846695616	0.912848871719693	0.999274986633643
MSTRG.5816	92.2595454472412	0.121850492826051	0.565133009992966	0.215613830145167	0.829288774468112	0.994309503314755
MSTRG.43170	42.1657747996841	0.0729737953687901	0.482913845167201	0.151111416868829	0.879887826562342	0.996359809682319
MSTRG.19840	2411.75874612491	0.145669093464242	0.143186057991219	1.01734132154945	0.308991085732797	0.847767742750284
MSTRG.43172	32.7372080059907	-0.0222279129040358	0.500328287793843	-0.0444266563500696	0.964564313926527	0.999976267802906
MSTRG.15171	1143.02663988932	-0.481732619708957	0.250156338487834	-1.925726218336	0.0541385683598474	0.466466172846168
MSTRG.32270	588.836052851757	0.57976396847661	0.16557794324677	3.50145651714345	0.000462722473068052	0.0262085769951627
MSTRG.15177	2279.62017393408	-0.164823095383063	0.19534696224523	-0.843745372278435	0.398811707475342	0.898522502296438
MSTRG.15174	4298.27219074228	-0.25343094739757	0.168060263921491	-1.50797661198462	0.131560512984153	0.652862369744432
MSTRG.15175	6168.58585684725	-0.00332781188053835	0.896811304505827	-0.00371071580366852	0.99703928394528	1
MSTRG.15179	1840.38807766605	-0.225080961289814	0.12496036015836	-1.80121889057116	0.0716683860444471	0.526895838490546
MSTRG.10522	20.6681747637605	-0.0567158138069604	0.832118552257311	-0.0681583335128219	0.945659594841546	0.999976267802906
MSTRG.37300	4.44894561536779	1.7380992200503	1.50779643023856	1.15274130193776	0.24901658352166	0.80066948195909
MSTRG.10520	498.627286680303	0.11341624028816	0.230816745726738	0.491369202572643	0.623165342464673	0.963373207847976
MSTRG.37302	16.1073031168957	-0.102791513985726	0.728614215157813	-0.141078106695272	0.887808238980788	0.997558065750325
MSTRG.37305	20.6670903511768	-0.318621495561658	0.506883542055219	-0.628589151405014	0.529618064476861	0.945072366378088
MSTRG.10527	29.8860671261558	0.229711901611223	0.441982194517841	0.519731121435369	0.603250992526658	0.960283850439483
MSTRG.37307	94.160470751007	-0.0935642694269596	0.255182321356724	-0.366656549440839	0.713875221061009	0.979620376494956
MSTRG.37309	246.694496305324	0.284998763375011	0.24317098701395	1.1720097322246	0.241193148825264	0.792524857143875
MSTRG.37308	28.6793647148094	0.0516615156770756	0.554087867786879	0.093237045386719	0.925715244594553	0.999672970698461
MSTRG.18315	67.7590576546858	-0.332646764463587	0.472276561774725	-0.704347391734971	0.481216459532203	0.930772172492246
MSTRG.6651|LOC111120025	12.9555315821023	-0.165549200093472	0.922001639384761	-0.179554127695413	0.857502620067475	0.995922619541288
MSTRG.5662	215.748023692139	-0.673421232478507	0.358442012079851	-1.87874526362297	0.0602792841501702	0.487585783953044
MSTRG.5664	9261.77991440515	-1.15353510589356	0.244866364029174	-4.71087611590509	2.46654142779993e-06	0.000455115675527008
MSTRG.5666	1677.26653394412	-0.355328834319265	0.131242048091528	-2.70743134145133	0.00678060945512556	0.155522395147218
MSTRG.5668	351.973617584576	0.388800448328534	0.201120454755953	1.93317208237381	0.0532150026781939	0.464372917481515
MSTRG.38307	846.010349912344	-0.0116625707061231	0.240539366617541	-0.0484850811329633	0.961329653989486	0.999976267802906
MSTRG.38300	564.990449167675	-0.272393764866644	0.233116592824378	-1.16848724308465	0.24261028202665	0.794068637004969
MSTRG.38302	1381.65252660692	-0.0107015731071317	0.181435516558334	-0.058982790746436	0.952965815240062	0.999976267802906
MSTRG.17554	1466.08981531508	-0.20072377643845	0.146076956279558	-1.37409610352443	0.169411848960529	0.708639342355356
MSTRG.38308	875.706003776431	-0.34518174380998	0.149887069037913	-2.30294545103599	0.0212819124434796	0.298455424123712
MSTRG.3848	1563.61179852812	-0.250147552747494	0.219978505687331	-1.13714543139521	0.255477494408629	0.80697660755387
MSTRG.43822	10.3767969505592	0.894869883943745	1.1838985155078	0.755867054668885	0.449728908403088	0.918095261483773
MSTRG.3847	175.397950135607	-0.534854093673714	0.293374088653945	-1.82311292768807	0.0682862890035107	0.516041082053018
MSTRG.3845	504.860814766814	0.741059511805665	0.314433765410621	2.35680640352957	0.0184328538230948	0.278064229430822
MSTRG.18718	4446.27112262576	-1.43323244548548	0.432879768595777	-3.31092499456547	0.000929881294020805	0.0423283327544267
MSTRG.18716	629.883987016887	-0.137857477471872	0.15233570144928	-0.904958431676446	0.365487409443517	0.882216402152687
MSTRG.18711	318.012370214667	0.0558190144019249	0.214595324474692	0.260112910374745	0.79477667956757	0.989009420988239
MSTRG.18712	79143.7075913092	-0.786766128916137	0.216835835111966	-3.62839531809804	0.000285188343021229	0.0181493614046786
MSTRG.13698|LOC111126032	4.76933425282142	0.0297589402164746	2.14163863049312	0.0138954069060766	0.988913426134974	1
MSTRG.38097|LOC111106271	3.37190423039687	2.28373891252168	1.78150958330725	1.28191222428458	0.19987343923884	0.749282770302719
MSTRG.9723|LOC111120498	26.099928132484	0.189546378947245	0.658146296768173	0.288000372983959	0.773346453158556	0.987197712126369
MSTRG.4858	1061.34304632713	0.0336041874236601	0.212402940154729	0.158209615173784	0.874291627364753	0.996359809682319
MSTRG.16189	475.64913757574	0.182446869716844	0.327641921995867	0.55684836850379	0.577631033567874	0.95444207479673
MSTRG.6313	616.877781353923	-0.274842184475864	0.225445958972738	-1.21910450614508	0.222804529820056	0.777068766599828
MSTRG.6312	479.929205931435	0.0614752592924329	0.211316293949988	0.290915850090492	0.771115678728996	0.987197712126369
MSTRG.6315	68.2423187729188	-0.371686048225597	0.445591283146506	-0.83414120132909	0.404201420103856	0.900151950007546
MSTRG.11393	2503.52464958258	-0.131274203004689	0.760782631586415	-0.172551524646338	0.863003957943159	0.996359809682319
MSTRG.6319	3344.61850476879	-0.117349209116002	0.127555268477042	-0.919987159425899	0.357579469400603	0.879389169256368
MSTRG.6318	66.5584041995781	-0.398980133277586	0.882783047596732	-0.451957176073737	0.651299833259601	0.968751035355373
MSTRG.33375	1727.18170963967	0.162197869451902	0.214187600106366	0.757270119144869	0.448888048860387	0.917846371183213
MSTRG.33376	347.374440934743	-0.252318444802449	0.282567235639563	-0.892950112320527	0.371883889143303	0.885184617625922
MSTRG.33372	86.3578973216402	-2.16951861080992	0.591395522632313	-3.66847317536891	0.000244003288930574	0.0163203741569863
MSTRG.30937	21269.1218315012	-0.16925025260623	0.175452098574054	-0.964652198416386	0.334719045238826	0.86473032936553
MSTRG.30935	6644.4689354214	-0.00471237448483156	0.160663040314585	-0.0293307936635864	0.976600767670036	0.999976267802906
MSTRG.44250	6.89801527412073	0.177329605872579	1.08350382978504	0.163663109439825	0.869996360287225	0.996359809682319
MSTRG.30931	2238.51338454666	0.234163610288108	0.193603037949527	1.20950380101554	0.226469351678077	0.780288648212734
MSTRG.26328	416.162162296155	0.201418442980682	0.212122857284601	0.949536723948813	0.34234770337002	0.870854574797716
MSTRG.44001	106.705382511149	-0.0276045619968775	0.422306604716734	-0.065366162140404	0.947882465139801	0.999976267802906
MSTRG.34548|LOC111104343	24.5427204662322	-6.83566745308243	3.30284682596234	-2.06962896352021	0.0384871036123722	0.399835214511252
MSTRG.18840|LOC111129124	2.85221615192276	-3.14478066106817	4.78728778120928	-0.656902364092637	0.5112436980321	0.939227985440359
MSTRG.24666|LOC111133944	4.02805877762605	1.41233491229256	1.59128818530087	0.887541882946565	0.374787227342155	0.886538686410407
MSTRG.4735|LOC111122759	3.12206126736741	-0.392626384657378	3.11975887800561	-0.125851516098057	0.899849461971391	0.998211290349172
MSTRG.18979|LOC111129615	4.02085463022258	4.92764621295108	2.61860963905384	1.88177960527616	0.0598659460218841	0.48625335669713
MSTRG.15600|LOC111125146	8.10731043349043	1.24789709417124	1.41662520916346	0.880894315658931	0.378375024425809	0.888069485212774
