baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MSTRG.37002|LOC111106954	4.93750894311178	-0.786087979330282	1.22906163525727	-0.639583855504316	0.522443181152577	1
MSTRG.21737|LOC111135544	49.9739483360122	-2.22829363518593	0.744737623743046	-2.99205191754183	0.00277109132338693	0.139687761590251
MSTRG.38779|LOC111111143	67.9055349125375	-0.221350419837634	0.442127288817417	-0.500648626393754	0.616618433809249	1
MSTRG.18311	1199.24127824895	-0.171322472812806	0.169726085244121	-1.0094056701207	0.312780120255156	0.99140922888324
MSTRG.32083|LOC111103558	37.1798482624684	-0.00201441853536352	0.524884945320846	-0.00383782875337026	0.996937863207682	1
MSTRG.34687	81.9565361092958	-0.342645602765295	0.33591908225759	-1.02002422864012	0.307716970118005	0.99140922888324
MSTRG.44225	56.411488435281	0.117088222755921	0.322073039176182	0.363545558036824	0.716197387042734	1
MSTRG.6774|LOC111120072	4.57030300348523	0.115297236352034	1.25684793905553	0.0917352312632787	0.926908404898182	1
MSTRG.25862|LOC111138511	3.32157660174668	-1.76271809447293	2.78872658928462	-0.632087097116649	0.527329965981416	1
MSTRG.20438	906.235192033486	-0.353375749816531	0.123252969942226	-2.86707695548573	0.0041428226167746	0.184665942516942
gene27862|LOC111105102	5.74536604321894	0.993413631132067	1.77178537020136	0.560685085134869	0.575012236560449	1
MSTRG.5919	17.3945892294548	-0.571106741752959	0.538277922202111	-1.06098860495066	0.288695079763203	0.989515894045007
MSTRG.459|LOC111125589	7.06834689432183	2.76802893463206	2.61611015336283	1.05807048341369	0.290023309941906	0.989515894045007
MSTRG.43179	7.40723709786969	0	4.71163921819225	0	1	1
MSTRG.43178	44.8693318946501	0.163848737448158	0.334431054146322	0.489932784102251	0.624181463250262	1
MSTRG.43947	12.1854410269086	-0.22248702861341	0.730908660575977	-0.304397855182183	0.760824801632151	1
MSTRG.19849	2181.73545362552	0.317184939734231	0.175258248267668	1.80981461853825	0.0703245401670573	0.761040708012219
MSTRG.43175	170.963708387136	-0.339741448108474	0.327847016371614	-1.03628043307668	0.300071331915426	0.991370933370531
MSTRG.19847	568.650963746514	-0.174312499244075	0.233674047469721	-0.74596430853821	0.455688975807693	1
MSTRG.43176	308.562922755881	-0.899343009310105	0.457127846629566	-1.96737743268327	0.0491397140722924	0.686188177048229
MSTRG.5816	92.2595454472412	-0.646354125417451	0.533439383585953	-1.21167305097057	0.225637558925776	0.963182524328909
MSTRG.43170	42.1657747996841	0.165285583313701	0.450765134335404	0.366677834472255	0.71385934217492	1
MSTRG.19840	2411.75874612491	0.117461092907143	0.134113566075382	0.875833044668431	0.381120802982138	1
MSTRG.43172	32.7372080059907	0.154871091783861	0.466604742928543	0.331910667713848	0.7399567149333	1
MSTRG.15171	1143.02663988932	-0.131546707138819	0.233894120911828	-0.56241989591696	0.573829966571639	1
MSTRG.32270	588.836052851757	0.488029494384804	0.155041179752498	3.14774110442062	0.00164537351026925	0.0963573161939546
MSTRG.15177	2279.62017393408	0.0911640053130889	0.182788571956844	0.498740180182667	0.617962434416721	1
MSTRG.15174	4298.27219074228	-0.255918175426641	0.157400340809758	-1.6259061073823	0.103969630705252	0.852028219449913
MSTRG.15175	6168.58585684725	-0.0483484839738544	0.840089310634771	-0.0575516000046737	0.954105803328483	1
MSTRG.15179	1840.38807766605	0.099948801794623	0.116626998785553	0.856995402740345	0.3914474253397	1
MSTRG.10522	20.6681747637605	0.0599840663243622	0.768893907254995	0.0780134499160092	0.937817354114795	1
MSTRG.37300	4.44894561536779	-1.5405559685981	1.58033341341528	-0.974829713477223	0.329644735465121	0.99140922888324
MSTRG.10520	498.627286680303	0.180938047991828	0.215923353656892	0.837973498130005	0.402045587889176	1
MSTRG.37302	16.1073031168957	0.0842297131967286	0.678035023818465	0.124226198113447	0.901136179804379	1
MSTRG.37305	20.6670903511768	-0.729561564606584	0.478235415573783	-1.52552809944295	0.127127430388265	0.888069345010931
MSTRG.10527	29.8860671261558	0.327608971546302	0.409583644866572	0.799858528660308	0.42379276790917	1
MSTRG.37307	94.160470751007	-0.112947108570192	0.237861260623289	-0.47484448822909	0.634897820685051	1
MSTRG.37309	246.694496305324	-0.0811128641635166	0.229101941675293	-0.354047039367646	0.723303631062478	1
MSTRG.37308	28.6793647148094	-0.270159974615144	0.528446011343834	-0.511234769145347	0.609186675128339	1
MSTRG.18315	67.7590576546858	0.297077822649144	0.436977110025495	0.679847561424469	0.496600987853336	1
MSTRG.6651|LOC111120025	12.9555315821023	1.29736032962108	0.821330465667045	1.57958383848264	0.114202202795658	0.86809741645744
