name	term	lev	seq	value
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.10133	-0.160440871920184
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.10147	0.740439561625786
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.10508	-4.70376493688747
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.10533	-2.54404807723666e-05
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.10551	-0.0426390563982631
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.10563	-2.85867873055193
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.10593	0.143331906005178
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.10737	0.0600333777257226
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.11131	0.049601607890725
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.11542	-0.210235733066236
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.11706	0.193451314352313
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.11742	0.129449948375107
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.11756	0.0353762058034319
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.11798	0.318297311625215
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.12309	0.133820756293012
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.12315	-0.244539175951806
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.12328	0.0238622149174128
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.12329	0.169581653885428
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.12333	-0.308341412698972
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.12555	0.0636456127294052
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.12891	-0.611682681173609
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.12893	0.0614416943158214
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.13142	0.0399761839749911
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.13215	0.0618203492510049
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.13222	-0.556474859722179
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.13228	0.00938535622300359
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.13394	-0.576586581926749
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.13518	8.94040372135129
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.1353	-0.000486335942534801
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.13774	-0.0607590319059447
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.13802	-2.82237614529926
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.13925	10.4631060801106
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.13932	-0.0747896392136292
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.13937	0.00141681960234315
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.13950	-0.153184459315071
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.13997	-0.00189194126311708
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.14024	0.0533803014603195
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.14253	1.36716647827855
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.14565	0.00594949326373208
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.14657	1.26276185928491
"translation"	GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271	3	MSTRG.14882	-0.119649016211816
