"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
1098 0.0509512082709653 1 26 "GO:0000003" "reproduction" 0.420347468235464
-465 0.427147274771322 3 24 "GO:0000278" "mitotic cell cycle" 0.784512534188467
23 0.983261984132109 2 7 "GO:0000902;GO:0009653" "cell morphogenesis" 0.995928905317099
-186 0.536810159295112 1 91 "GO:0002376" "immune system process" 0.828313830365704
-12 0.947878802908936 2 234 "GO:0005975" "carbohydrate metabolic process" 0.995928905317099
-127 0.611325123367085 2 133 "GO:0006091" "generation of precursor metabolites and energy" 0.828313830365704
133 0.344222290299809 2 436 "GO:0006259" "DNA metabolic process" 0.753961308972531
-151 0.571741190851395 5 117 "GO:0006397;GO:0006396;GO:0016071" "RNA processing" 0.828313830365704
296 0.31822176260887 6 94 "GO:0006399;GO:0034660" "tRNA metabolic process" 0.753961308972531
-160 0.437740692949766 3 198 "GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0043603;GO:0044271" "translation" 0.784512534188467
45 0.910083219206328 2 52 "GO:0006457" "protein folding" 0.995928905317099
-46 0.61496026799878 4 1116 "GO:0006464;GO:0036211;GO:0044267;GO:0019538;GO:0043412" "protein metabolic process" 0.828313830365704
-54 0.713939531929313 5 391 "GO:0006520;GO:0019752;GO:0043436;GO:0006082" "carboxylic acid metabolic process" 0.890632936818145
253 0.577594552939124 5 40 "GO:0006605;GO:0006886;GO:0015031;GO:0015833;GO:0045184;GO:0042886;GO:0071702;GO:0008104;GO:0071705;GO:0006820;GO:0033036;GO:0006811" "ion transport" 0.828313830365704
-134 0.439802481287474 3 282 "GO:0006629" "lipid metabolic process" 0.784512534188467
66 0.790691049707217 2 136 "GO:0006790" "sulfur compound metabolic process" 0.966400171864376
-112 0.321419438403385 3 695 "GO:0006810;GO:0051234;GO:0051179" "transport" 0.753961308972531
-882 0.330773246848776 5 10 "GO:0006874;GO:0006875;GO:0055074;GO:0072503;GO:0030003;GO:0055065;GO:0006873;GO:0055080;GO:0098771;GO:0050801;GO:0048878;GO:0055082;GO:0019725;GO:0072507;GO:0070588;GO:0006816;GO:0098662;GO:0070838;GO:0030001;GO:0072511;GO:0006812;GO:0098655;GO:0098660;GO:0034220" "ion homeostasis" 0.753961308972531
-192 0.664176737068941 4 42 "GO:0006913;GO:0051169" "nuclear transport" 0.876713292931002
-731 0.103182417732505 3 41 "GO:0006914;GO:0061919" "autophagy" 0.610149219166465
2200 0.0299336111530484 2 8 "GO:0006928;GO:0048870" "movement of cell or subcellular component" 0.420347468235464
-346 0.0318446522487316 2 326 "GO:0006950;GO:0050896" "response to stress" 0.420347468235464
-190 0.186712116778899 2 414 "GO:0006996" "organelle organization" 0.724882335729843
-503 0.11093622166663 2 83 "GO:0007005" "mitochondrion organization" 0.610149219166465
-1768 0.0169793854448435 3 15 "GO:0007009" "plasma membrane organization" 0.420347468235464
257 0.265467370202668 3 157 "GO:0007010" "cytoskeleton organization" 0.753961308972531
-570 0.374070327585818 3 20 "GO:0007034" "vacuolar transport" 0.753961308972531
-170 0.493699007396566 2 135 "GO:0007049" "cell cycle" 0.828313830365704
-526 0.229865612258229 2 43 "GO:0007059" "chromosome segregation" 0.753961308972531
-157 0.462984542039231 2 182 "GO:0007155;GO:0022610" "cell adhesion" 0.804131046699717
-101 0.715205237141844 2 108 "GO:0007267;GO:0007154;GO:0023052" "cell-cell signaling" 0.890632936818145
79 0.927524008324803 2 11 "GO:0007568" "aging" 0.995928905317099
193 0.326149976428162 2 218 "GO:0008219" "cell death" 0.753961308972531
-241 0.564469007764557 2 47 "GO:0008283" "cell population proliferation" 0.828313830365704
-275 0.044564048174886 2 458 "GO:0009056" "catabolic process" 0.420347468235464
-167 0.12369435308252 3 753 "GO:0016043;GO:0071840" "cellular component organization or biogenesis" 0.627986715649717
42 0.834258944389048 4 210 "GO:0016070" "RNA metabolic process" 0.983233755887092
-269 0.156914171897015 3 232 "GO:0016192" "vesicle-mediated transport" 0.690422356346866
-172 0.324197914155388 2 278 "GO:0022607" "cellular component assembly" 0.753961308972531
-374 0.362225566245876 3 49 "GO:0022618;GO:0034622;GO:0071826" "ribonucleoprotein complex assembly" 0.753961308972531
314 0.549542788569875 2 30 "GO:0030154;GO:0048869" "cell differentiation" 0.828313830365704
