sample,treatment_name,effluent,pCO2,library,extraction
CASE_J03,CASE,high,high,three,two
CASE_J09,CASE,high,high,four,two
CASE_J12,CASE,high,high,two,three
CASE_J13,CASE,high,high,two,three
CA_J06,CA,ambient,high,three,two
CA_J08,CA,ambient,high,one,two
CA_J11,CA,ambient,high,four,three
CA_J18,CA,ambient,high,two,three
CON_J02,CON,ambient,ambient,three,one
CON_J05,CON,ambient,ambient,one,two
CON_J10,CON,ambient,ambient,four,two
SE_J01,SE,high,ambient,one,one
SE_J04,SE,high,ambient,four,three
SE_J07,SE,high,ambient,three,two
