"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","alpha-1,2-mannosyltransferase activity","GO:0000026","true","0.03805212396714913","1.4196210970676941","2","43","1","39530","LOC111122333"
"GO:MF","phosphoglycerate dehydrogenase activity","GO:0004617","true","0.03805212396714913","1.4196210970676941","2","43","1","39530","LOC111111318"
"GO:MF","phosphopyruvate hydratase activity","GO:0004634","true","0.03805212396714913","1.4196210970676941","2","43","1","39530","LOC111132341"
"GO:MF","acyl-coenzyme A diphosphatase activity","GO:0106399","true","0.03805212396714913","1.4196210970676941","1","43","1","39530","LOC111136241"
"GO:MF","ubiquitin-ubiquitin ligase activity","GO:0034450","true","0.04563829416803933","1.3406705966651407","3","43","1","39530","LOC111135880"
"GO:MF","glycolipid mannosyltransferase activity","GO:0004376","true","0.07594271827334576","1.1195138618974818","6","43","1","39530","LOC111122333"
"GO:BP","uracil catabolic process","GO:0006212","false","0.02379521882114946","1.6235102970690156","1","43","1","39530","LOC111119483"
"GO:BP","pyrimidine nucleobase catabolic process","GO:0006208","false","0.02379521882114946","1.6235102970690156","1","43","1","39530","LOC111119483"
"GO:BP","thymine catabolic process","GO:0006210","true","0.02379521882114946","1.6235102970690156","1","43","1","39530","LOC111119483"
"GO:BP","polyprenol biosynthetic process","GO:0016094","false","0.02379521882114946","1.6235102970690156","1","43","1","39530","LOC111103307"
"GO:BP","lipid droplet organization","GO:0034389","true","0.02379521882114946","1.6235102970690156","1","43","1","39530","LOC111136241"
"GO:BP","uracil metabolic process","GO:0019860","false","0.02379521882114946","1.6235102970690156","1","43","1","39530","LOC111119483"
"GO:BP","thymine metabolic process","GO:0019859","false","0.02379521882114946","1.6235102970690156","1","43","1","39530","LOC111119483"
"GO:BP","dolichol biosynthetic process","GO:0019408","true","0.02379521882114946","1.6235102970690156","1","43","1","39530","LOC111103307"
"GO:BP","nucleobase catabolic process","GO:0046113","false","0.029270864590114715","1.5335644493745308","2","43","1","39530","LOC111119483"
"GO:BP","lipid storage","GO:0019915","true","0.029270864590114715","1.5335644493745308","2","43","1","39530","LOC111136241"
"GO:BP","dolichol metabolic process","GO:0019348","false","0.029270864590114715","1.5335644493745308","2","43","1","39530","LOC111103307"
"GO:BP","protein refolding","GO:0042026","true","0.029270864590114715","1.5335644493745308","2","43","1","39530","LOC111112302"
"GO:BP","polyprenol metabolic process","GO:0016093","false","0.029270864590114715","1.5335644493745308","2","43","1","39530","LOC111103307"
"GO:BP","protein folding","GO:0006457","false","0.04116869628282939","1.3854328858841787","78","43","2","39530","LOC111112302,LOC111114592"
"GO:BP","maintenance of location","GO:0051235","false","0.05068228482916418","1.2951438147370795","4","43","1","39530","LOC111136241"
"GO:BP","L-serine biosynthetic process","GO:0006564","true","0.05914921045229608","1.2280510481366351","5","43","1","39530","LOC111111318"
"GO:BP","lipid metabolic process","GO:0006629","false","0.05914921045229608","1.2280510481366351","334","43","3","39530","LOC111122333,LOC111103307,LOC111112301"
"GO:BP","small molecule biosynthetic process","GO:0044283","false","0.06240294254711374","1.2047949311213584","113","43","2","39530","LOC111103307,LOC111111318"
"GO:BP","small molecule metabolic process","GO:0044281","false","0.06240294254711374","1.2047949311213584","690","43","4","39530","LOC111119483,LOC111132341,LOC111103307,LOC111111318"
"GO:BP","organic substance catabolic process","GO:1901575","false","0.06319848446473457","1.1992933362191136","363","43","3","39530","LOC111119483,LOC111135880,LOC111132341"
"GO:BP","pyrimidine nucleobase metabolic process","GO:0006206","false","0.07224963890816172","1.1411643190985385","8","43","1","39530","LOC111119483"
"GO:BP","catabolic process","GO:0009056","false","0.07417356253265846","1.1297508614611853","405","43","3","39530","LOC111119483,LOC111135880,LOC111132341"
"GO:BP","L-serine metabolic process","GO:0006563","false","0.07417356253265846","1.1297508614611853","9","43","1","39530","LOC111111318"
"GO:BP","lipid biosynthetic process","GO:0008610","false","0.07578163481519073","1.120436030051287","143","43","2","39530","LOC111122333,LOC111103307"
"GO:BP","pyrimidine-containing compound catabolic process","GO:0072529","false","0.07578163481519073","1.120436030051287","10","43","1","39530","LOC111119483"
"GO:BP","serine family amino acid biosynthetic process","GO:0009070","false","0.08011113159839256","1.0963071336552506","11","43","1","39530","LOC111111318"
"GO:BP","ERAD pathway","GO:0036503","false","0.08166577654055526","1.0879599039751113","15","43","1","39530","LOC111135880"
"GO:BP","alcohol biosynthetic process","GO:0046165","false","0.08166577654055526","1.0879599039751113","13","43","1","39530","LOC111103307"
"GO:BP","purine ribonucleoside diphosphate metabolic process","GO:0009179","false","0.08166577654055526","1.0879599039751113","16","43","1","39530","LOC111132341"
"GO:BP","purine nucleoside diphosphate metabolic process","GO:0009135","false","0.08166577654055526","1.0879599039751113","16","43","1","39530","LOC111132341"
"GO:BP","ADP metabolic process","GO:0046031","false","0.08166577654055526","1.0879599039751113","16","43","1","39530","LOC111132341"
"GO:BP","nucleobase metabolic process","GO:0009112","false","0.08166577654055526","1.0879599039751113","15","43","1","39530","LOC111119483"
"GO:BP","isoprenoid biosynthetic process","GO:0008299","false","0.08166577654055526","1.0879599039751113","15","43","1","39530","LOC111103307"
"GO:BP","ATP generation from ADP","GO:0006757","true","0.08166577654055526","1.0879599039751113","14","43","1","39530","LOC111132341"
"GO:BP","ubiquitin-dependent ERAD pathway","GO:0030433","true","0.08166577654055526","1.0879599039751113","14","43","1","39530","LOC111135880"
"GO:BP","ribonucleoside diphosphate metabolic process","GO:0009185","false","0.08166577654055526","1.0879599039751113","16","43","1","39530","LOC111132341"
"GO:BP","glycolytic process","GO:0006096","false","0.08166577654055526","1.0879599039751113","14","43","1","39530","LOC111132341"
"GO:BP","isoprenoid metabolic process","GO:0006720","false","0.08227652194405144","1.0847240754171807","17","43","1","39530","LOC111103307"
"GO:BP","response to endoplasmic reticulum stress","GO:0034976","false","0.08227652194405144","1.0847240754171807","17","43","1","39530","LOC111135880"
"GO:BP","histone methylation","GO:0016571","true","0.08282283047575958","1.0818499315371146","18","43","1","39530","LOC111104148"
